,Link,Caption,Comments,Likes,Image Link,Video?,Post Date
0,https://www.instagram.com/p/CQkoodYHjw4/,"BUKAN HANYA WAJAH YANG MENUA, IMUN KITA JUGAKematian Mbah karena COVID-19 mencapai 48 persen, paling tinggi dibanding kelompok umur lain. Vaksin merupakan salah satu upaya melindungi Mbah dari gejala berat dan kematian, Cofighters!Sinovac menekan risiko perawatan dan kematian sampai 98 persen. Astrazeneca efektif 86 persen melawan infeksi setelah 2 dosis vaksin. Jadi, kekebalan setelah vaksin penting untuk Mbah, bukan untuk kita aja.Skuy, bantu ciptakan herd immunity untuk Mbah, kamu, dan Mico #AjakSimbahVaksin #BersatuLawanCOVID19 #CuciTanganPakaiSabun #JagaJarak #PakaiMasker #Cofight",0,1,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/207648411_487079152585303_573831379337973196_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=GPUXixpMR6IAX9Kw0IL&edm=APU89FABAAAA&ccb=7-4&oh=2b71eceda60f8f65d2c9a02021abc8da&oe=60DE2B37&_nc_sid=86f79a,False,2021 Jun 26 12:55:29
1,https://www.instagram.com/p/CQffBUanJN8/,"MATI SATU TIDAK TUMBUH SERIBU!Cofighters pasti pernah dengar pepatah, ""Mati satu tumbuh seribu."" Satu pengorbanan dipercaya akan menciptakan kebaikan yang lebih banyak. Sayangnya pepatah itu nggak berlaku untuk COVID-19!Satu orang yang meninggal karena COVID-19 berpotensi menularkan orang lain, sehingga angka kematian terus bertambah. Sedihnya ternyata kelompok Simbah termasuk kelompok dengan kematian paling tinggi! Kita harus apa nih untuk melindungi Mbah?#AjakSimbahVaksin #BersatuLawanCOVID19 #PakaiMasker #CuciTanganPakaiSabun #JagaJarak #Cofight",0,30,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/206284294_222620599700599_4713330164731871946_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Ikeqt1yHCQAAX80VKPV&edm=APU89FABAAAA&ccb=7-4&oh=94cd2086ce1068e3787bbdf555e42ed7&oe=60DE5BC3&_nc_sid=86f79a,False,2021 Jun 24 12:55:18
2,https://www.instagram.com/p/CQcwooyHJeG/,"BUAT APA MBAH VAKSIN, KAN SUDAH TUA?Justru karena sudah tua, Mbah jadi lebih rentan terhadap infeksi COVID-19. Sistem imun Mbah sudah menurun, jadi kalau terpapar berisiko sakit yang lebih berat dari kamu Cofighters!Selain itu, Mbah yang sudah divaksin bisa ikut melindungi kamu dan keluargamu karena herd immunity membutuhkan paling tidak 80-90% populasi tervaksinasi.Asik banget kan kalau kita bisa saling melindungi?#AjakSimbahVaksin#BersatuLawanCOVID19 #PakaiMasker #CuciTanganPakaiSabun #JagaJarak #Cofight",0,45,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/206003993_773825389996196_424420269257218237_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=lwOupyUAtdkAX9kj1xE&edm=APU89FABAAAA&ccb=7-4&oh=e6f4a1d3ea921e4d643ab1a34aa17471&oe=60DCDB48&_nc_sid=86f79a,False,2021 Jun 23 11:31:29
3,https://www.instagram.com/p/CQXvEJhnZH6/,"VAKSIN LANSIA BEDA DENGAN VAKSIN LAIN?Vaksinnya sih sama-sama Sinovac dan Astrazeneca ya Cofighters! Tapi sekarang jarak antar dosisnya 28 hari agar sistem imun bekerja lebih baik. Efek sampingnya secara umum sama kok, ringan sampai sedang. Palingan nyeri di tempat suntikan aja. Nyerinya nggak seberapa dibanding manfaatnya kok... Mico serius nih! Menurut penelitian keampuhan (efikasi) vaksin Sinovac mencapai 98% Yang sudah ajak Simbah-simbah vaksin ngacung di kolom komentar!#AjakSimbahVaksin #BersatuLawanCOVID19 #PakaiMasker #CuciTanganPakaiSabun #JagaJarak #Cofight",0,83,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/204147086_266733488538057_165475962121017357_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=4TXEvZIaxzMAX_-xZTq&edm=APU89FABAAAA&ccb=7-4&oh=8534c9366a5998ec00eb7deadb160113&oe=60DDDEC3&_nc_sid=86f79a,False,2021 Jun 21 12:41:34
4,https://www.instagram.com/p/CQN5zMFHqXb/,"PEMERINTAH KERJANYA NGAPAIN, SIH!Mico setuju, emang paling gampang cari kesalahan pemerintah. Tapi ternyata untuk mendukung Mbah vaksinasi, pemerintah sudah berusaha memetakan lansia, mempermudah akses, melakukan jemput lansia, serta menggencarkan program edukasi.Eits, tenang Mico bukan buzzer pemerintah kok. Mico cuma penyayang Mbah, kayak Cofighters yang lagi baca Kita bisa ngapain lagi ya untuk membantu program vaksin lansia pemerintah?#AjakSimbahVaksin#BersatuLawanCOVID19 #CuciTanganPakaiSabun #JagaJarak #PakaiMasker #Cofight",2,72,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/201443004_877350596210164_731008885040823890_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=rxqAQcdAKA4AX-wwIiP&edm=APU89FABAAAA&ccb=7-4&oh=83a111392cc3d216abe2ad6e81c7d23e&oe=60DDA508&_nc_sid=86f79a,False,2021 Jun 17 17:02:58
5,https://www.instagram.com/p/CQK9J32nHo-/,"VAKSIN NGGAK SAKIT KOK, KAYAK DIGIGIT SEMUT AJA!Pasti Cofighters pernah denger kalimat dusta itu kan hehehehe. Mico paham kok, vaksinasi tidak sesederhana digigit semut. Apalagi untuk lansia yang sebagian besar sudah punya masalah kesehatan.Beberapa kendala vaksinasi lansia:- Akses ke lokasi vaksinasi sulit. Bisa jadi Mbah nggak ada yang anter.- Informasi belum memadai. Mbah mungkin merasa vaksin tidak penting karena sudah tua- Kurangnya tenaga vaksinasi. Kalau ada banyak mungkin bisa jemput Mbah langsung ke rumah ya...- Enggan divaksin ntah karena termakan hoaks, kepercayan pribadi, atau karena memiliki penyakit tertentuMbah di lingkungan Cofighters memiliki masalah serupa?#AjakSimbahVaksin#BersatuLawanCOVID19 #CuciTanganPakaiSabun #JagaJarak #PakaiMasker #Cofight",0,38,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/201296892_1357870667918054_7785914357915828281_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=1vDEUDlasGAAX9dIQyE&edm=APU89FABAAAA&ccb=7-4&oh=22b1bb2744fea0bf17ee957848952d33&oe=60DE436D&_nc_sid=86f79a,False,2021 Jun 16 13:34:33
6,https://www.instagram.com/p/CQITjCIHMPP/,"VAKSINASI DI JOGJA BERHADIAH?Atau sistemnya memungkinkan banyak lansia untuk vaksinasi? Soalnya di Jogja cakupan vaksinasi lansia lebih baik 2x lipat daripada total di Indonesia Cofighters! Kira-kira apa ya resep rahasianya Menurutmu, kenapa ya banyak Mbah belum divaksin?#AjakSimbahVaksin#BersatuLawanCOVID19 #CuciTanganPakaiSabun #JagaJarak #PakaiMasker #Cofight",0,63,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/201075017_932168713996883_4639315645201916614_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Ql-_hT6zgXMAX-8AesA&edm=APU89FABAAAA&ccb=7-4&oh=b1f9e41eeb528d671f8c29c78cec5e2d&oe=60DD7BE0&_nc_sid=86f79a,False,2021 Jun 15 12:52:30
7,https://www.instagram.com/p/CQFpGivHAJi/,"SIMBAH SUDAH VAKSIN COVID-19 BELUM, YA?Cofighters sudah dengar prioritas vaksin COVID-19 sekarang adalah lansia? Bahkan @kemenkes_ri mengadakan program dampingi lansia di mana 1 orang yang mendampingi 2 lansia vaksinasi berhak untuk divaksin juga.Tapi per 31 Mei 2021, ternyata jumlah lansia yang divaksin masih sangat kurang! Padahal Si Mbah sangat membutuhkan perlindungan dari vaksin Kalau Mbah di rumahmu sudah vaksin?#AjakSimbahVaksin#BersatuLawanCOVID19 #CuciTanganPakaiSabun #JagaJarak #PakaiMasker#Cofight",11,104,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/131426918_1012375552644797_4512488366459223728_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=MWo2FLlGptQAX-yjGK2&edm=APU89FABAAAA&ccb=7-4&oh=2761d53f6ea8c6f65639ae89c5292e9c&oe=60DE57C0&_nc_sid=86f79a,False,2021 Jun 14 12:03:08
8,https://www.instagram.com/p/COcLZkhHe1U/,"[CLOSED][LET'S BREAK THE CHAIN]Covid-19 ""mengganas"" di India!Baru-baru ini, Dunia dibuat tercengang dengan peningkatan kasus Covid-19 yang drastis di India.Pandemi belum berakhir, jangan biarkan Tsunami Covid-19 melanda negeri kita! Mari kita putus rantai penularan Covid-19!.Cofight mengajak kamu ikut ambil bagian dalam solusi. Kami bekerjasama dengan puskesmas di wilayah DI.Yogyakarta melakukan pemantauan dan konsultasi online bagi pelaku isolasi mandiri via telekomunikasi/daring.""Together, Let's beat Covid-19""CP :Lalita 085743567854",11,147,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/182242514_497663664692056_1092065050038611816_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=uThlXIbb9gMAX9ceUSb&edm=APU89FABAAAA&ccb=7-4&oh=e32db93513975d969d65c579f35c0c11&oe=60DD0B2A&_nc_sid=86f79a,False,2021 May 04 13:03:20
9,https://www.instagram.com/p/COAch0Wn2TQ/,[Pengumuman Pemenang #PadhaNgelingke TikTok Challenge]Selamat kepada para pemenang! Jangan lupa untuk tetap berani menegur orang lain dalam menerapkan protokol kesehatan yaa fighters!,0,37,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/176649928_125680906268570_4174005743848530242_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=-q9X8rBh_5cAX_KFXsb&edm=APU89FABAAAA&ccb=7-4&oh=17b1d20a76a369e6fa4acd7cb49b39ba&oe=60DE1CEC&_nc_sid=86f79a,False,2021 Apr 23 18:34:16
