,Link,Caption,Comments,Likes,Thumbnail,Video?,Post Date
0,https://www.instagram.com/p/CINzb4TndeM/,Apa saja bahayanya? Apakah jadi lebih rentan terkena COVID 19? Mengapa? Yuk simak bahasan berikut bersama dengan dr. Adaninggar Sp.PD,0,35,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/e35/c0.126.504.504a/128492649_1008638262873171_3707964385287029684_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=4WFSsTX3IpgAX-T5UBx&tp=1&oh=6b648f49635e56f0929109e29b204ecd&oe=5FD001CC,True,2020 Nov 30 19:56:31
1,https://www.instagram.com/p/CIF7KoPHSj2/,"""TOLONG!! SAYA GAK MAU BERISIKO TERKENA COVID,"" kata Bapak X, usia 50 tahun, ketika baru saja diberitahu dokter bahwa pandemi tidak boleh sampai menganggu pengobatan Darah Tingginya. Bapak X mengaku selama ini merasa takut pergi ke RS dan selama 8 bulan terakhir hanya minum obat warung ketika ada gejala seperti pusing.HAL TERSEBUT TENTU TIDAK TEPAT! Seorang penderita penyakit tidak menular, harus taat akan anjuran dokter, mengapa? Apa kah berbahaya? Ada hubungannya sama COVID-19?  Kalopun memang saya sehat, tapi ortu saya yang darah tinggi, saya harus gimana??? SOLUSI MENANTI! CARI TAU SELENGKAPNYA DI COFIGHT BREAK MENDATANG🙂Senin, 30 November 2020Pukul 19.00 di Live IG @cofight_id#lawanCOVID #lawanPTM #hidupsehatmuladarisekarang #jagajarak",0,47,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/127460649_208902030727559_3153490890075649681_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=xEgCNSaskTMAX_n9JqI&tp=1&oh=37aaa7ea1abd701de03dc4a06eb4e4c7&oe=5FF7424F,False,2020 Nov 27 18:29:50
2,https://www.instagram.com/p/CIDaAWEH9Mb/,"[TERNYATA INI PENYEBABNYA⚠️⚠️⚠️]Pandemi COVID-19 terbukti menimbulkan permasalahan kesehatan khususnya dalam penanganan Penyakit Tidak Menular. Kok bisa??1. Tenaga medis yang dikerahkan untuk COVID-192. Dana dan fasilitas pelayanan diarahkan untuk COVID-193. Belum lagi istilah Coronaphobia yang menghantui masyarakat terhadap situasi RSHal tersebut meningkatkan kerentanan penderita Penyakit Tidak Menular semakin berisiko terkena COVID19--walaupun semua orang tetap berisiko terkena-- jika tidak ditangani lebih lanjut. Belum lagi, kebiasaan dan gaya hidup ""lockdown"" demi keamanan pandemi. Rebahan seharian dan kurangnya aktivitas fisik turut berkontribusi loh pada kejadian Penyakit Tidak Menular tersebut. Mau sampai kapan lingkaran maut ini terus terjadi?? [Cek story hari ini untuk tahu solusinya nya ya!😊😊]#bersatulawancovid19 #jagajarak #PakaiMasker #PenyakitTidakMenular #SehatdikalaPandemi",0,53,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/127341773_432383807891369_4563584664851078820_n.jpg?_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=j8iNcITXj94AX-6jlo7&tp=1&oh=0454f321000defd3691fbd18abc93346&oe=5FF81C3D,False,2020 Nov 26 19:01:35
3,https://www.instagram.com/p/CH-M62HHopZ/,Ke rumah sakit selama pandemi? Males banget nanti malah kena covid😣😣 Eitts tunggu dulu! Kalau kalian atau orang terdekat kalian punya penyakit tidak menular tetap harus kontrol ke rumah sakit atau fasilitas kesehatan lainnya! Loh apa sih emangnya penyakit tidak menular itu? Kenapa ttp harus ke rumah sakit kan bahaya covid? Yuk cari tau bersama mico seputar penyakit tidak menular selama pandemi! Slide 3 mencengangkan! #bersatulawancovid #jagajarak #pakaimasker #penyakittidakmenular,1,88,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/127004489_874617473344082_1229426087386371201_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=102&_nc_ohc=yFw3_v2r6YwAX88jGFf&tp=1&oh=764a8b3dd1f0a3560eb130e17905f4a3&oe=5FF530AD,False,2020 Nov 24 18:31:02
4,https://www.instagram.com/p/CHy5KWbHn71/,"Halo semua 👋😃, kali ini Mico post hasil bincang-bincang bersama dengan Kak Lala @bianglalaa dari @welasasihid tentang, ""Gimana sih cara kita menjadi asertif di kala pandemi?"". Mungkin ada yang belum paham apa itu asertif atau temen-temen lain yang masih bingung, ""Kenapa sih orang jadi baper pas diingetin?"". Boleh gak sih kita-kita ini baper?. Hehe, penasaran kan? Cuss, simak bareng diskusi onlen kita kali ini. Eitss, tenang aja! ini bisa diterapkan di kehidupan sehari-hari kok ngga cuma pas pandemi aja lhoo. Tonton yaa please, ini bukti cinta Mico untuk kalian ❤",0,19,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.420.1080.1080a/s640x640/126512021_193172799045276_8412322409775419872_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=100&_nc_ohc=H6Gp2oK8VTIAX9JLIHg&tp=1&oh=837014ceff048df32200b36131aab1a5&oe=5FCFE73E,True,2020 Nov 20 09:34:16
5,https://www.instagram.com/p/CHuKpS-HIlD/,Ternyata Fighters masih banyak yang galau urusan tegur-menegur orang lain yang melanggar protokol kesehatan ya....😥Nah kebetulan Mico ada sedikit tips and tricks yang bisa membantu teman-teman Fighters untuk lebih berani dalam menegakkan kebenaran hihi.. 😉 Semoga membantu ya! #BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #3M #EwuhPekewuh #PadhaNgelingke,0,27,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/126157844_819386428904538_7445554903423259945_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=106&_nc_ohc=k69d7MPCTZkAX-cGPTA&tp=1&oh=461e79cd70119b30b8943f4c951f9159&oe=5FF8D0C2,False,2020 Nov 18 13:03:19
6,https://www.instagram.com/p/CHo8MRPHTSO/,"Mico dapat ilmu baru ternyata kalau menegur itu jangan memberi perintah langsung lho 😉Ini rangkuman Cofight Break Eps 5: Padha Ngelingke - Menjadi Asertif di Kala Pandemi, dibaca ya Fighters!#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #3M #EwuhPekewuh #PadhaNgelingke",0,33,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/125240395_379815519994780_4009324141376549756_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=61WhS490AccAX_r3IId&tp=1&oh=8d2b674f2d9d730699537b67a2fc15f0&oe=5FF7704C,False,2020 Nov 16 12:20:49
7,https://www.instagram.com/p/CHe5PieJ-YP/,"Sudah benar belum jawaban kemarin, Fighters? Memang ada ya hubungannya perasaan “pekewuh” dengan pandemi saat ini?Mico juga masih mau cari-cari tahu lebih lanjut nih..🤓Jangan lupa ya nonton Cofight Break Edisi 5 besok Jumat pukul 19.00-20.00 WIB!#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #3M #EwuhPekewuh #PadhaNgelingke",0,32,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/124813809_439735100558173_1626548169291397427_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=101&_nc_ohc=2VIje6Lg6BIAX_pN7GP&tp=1&oh=7d615ddad3141927746806febb08588f&oe=5FF6247E,False,2020 Nov 12 14:42:38
8,https://www.instagram.com/p/CHcP0oGHdvl/,"Pernah ngerasa sungkan atau ""pekewuh"" untuk menegur keluarga yang bertamu tanpa masker? Bingung gimana ngingetin penjual makanan yang nurunin masker di leher? Kesehatan adalah tanggung jawab kita bersama, lalu gimana sih cara saling mengingatkan dengan asertif di kala pandemi ini? Apakah budaya ""pekewuh"" ada hubungannya dengan pandemi?🤔Penasaran kan Fighters...?!Yuk saksikan Cofight Break Eps 5: Padha Ngelingke - Menjadi Asertif di Kala Pandemi bareng @welasasihid besok Jumat pukul 19.00-20.00 WIB#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #3M #EwuhPekewuh #PadhaNgelingke",0,51,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/124267531_203541864487233_6076932780011623614_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=109&_nc_ohc=LJqg0m2m2pcAX9xbO4Q&tp=1&oh=726e68480cdeb55943641d6f04c7123b&oe=5FF7DC26,False,2020 Nov 11 14:02:13
9,https://www.instagram.com/p/CHKhkwZHXnn/,Alternatif seru dari salaman atau cium tangan selama pandemi!.Gimana? Mungkin nggak ya diterapkan di Indonesia? Berani nggak ya Fighters mengajak keluarga dan lingkungan untuk melakukan alternatif dari salaman? Atau kurang sesuai nih sama budaya di Indonesia? 😕.Video sepenuhnya milik @guardian dan dapat diakses di channel Youtube The Guardian.#BersatuLawanCovid19 #GotongRoyong #JagaJarak #PakaiMasker #CuciTanganPakaiSabun #3M #PadhaNgelingke,0,19,https://scontent-xsp1-2.cdninstagram.com/v/t51.2885-15/e35/c0.236.607.607a/123462336_2778089505794524_6362476487585201070_n.jpg?_nc_ht=scontent-xsp1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=OZ6KVL46xLwAX-IqqNK&tp=1&oh=5620a842f7e053ba0db03e8335b8717f&oe=5FCFFF91,True,2020 Nov 04 16:51:33
